Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.2601221967247024,-5.962796257434698,0.5817469323346813,-5.000883770889743,2.626818482468434 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.085014537967184,-8.4306689264641,-0.034118682658458968,-7.0886231292423649,2.5405184008051977 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.8889544964876753,-10.906890329457319,-0.65228107545272,-9.182950440507569,2.4213999836684749 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6773225015498977,-13.389623158346545,-1.2844312171012576,-11.285465532144145,2.278787439010765 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.6201242071343046,-13.191156775451307,-1.3465834823792307,-11.136560579647267,2.1497666811979 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.5483560109459119,-13.013876528011643,-1.3700364489686195,-10.989061141495029,2.052229220277224 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.4935310568486347,-12.83540309206259,-1.3884706321859995,-10.8411840567706,1.981758763677508 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4500713659323293,-12.65699136390389,-1.3942962991146715,-10.69064637202689,1.927753720240948 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4083242325351777,-12.532337564358058,-1.392275820307134,-10.560541444889737,1.8812173883520174 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.370029250994374,-12.409110884526858,-1.391055010096693,-10.422185085897582,1.8374348352154005 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,1.332764329880301,-12.287483557935545,-1.3883522311200523,-10.283050541767409,1.7948559696578115 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2960490023203005,-12.16751606028607,-1.3850051461039357,-10.144123977922505,1.7531773820177279 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2557454138506384,-12.137039185011089,-1.4290723374076038,-10.160264971158313,1.711543593962998 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2158462005578886,-12.107742606940864,-1.4678053433252672,-10.183471653518155,1.669616425163958 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.1758067685695908,-12.080075271740498,-1.5058196452257562,-10.206638890521447,1.6274715337193069 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.135706352259324,-12.053903472130026,-1.543642163118534,-10.22912547015585,1.5852727124031834 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,1.1012980522053307,-11.931690060642565,-1.546678357258429,-10.140729844595058,1.5441227906689919 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0670759743147183,-11.80957037428054,-1.5515184159417004,-10.044523742212846,1.5044914266808419 
